Name,PlayerID,Position,Team,TeamID
Kyrie Irving,20000574,Scrambled,EAST,31
LeBron James,20000571,Scrambled,EAST,31
Kevin Durant,20000884,Scrambled,EAST,31
LaMarcus Aldridge,20000616,Scrambled,EAST,31
Anthony Davis,20000468,Scrambled,EAST,31
DeMarcus Cousins,20000862,Scrambled,EAST,31
Russell Westbrook,20000877,Scrambled,EAST,31
Bradley Beal,20000441,Scrambled,EAST,31
Victor Oladipo,20000689,Scrambled,EAST,31
Kristaps Porzingis,20001406,Scrambled,EAST,31
John Wall,20000442,Scrambled,EAST,31
Paul George,20000742,Scrambled,EAST,31
Andre Drummond,20000810,Scrambled,EAST,31
Goran Dragic,20000849,Scrambled,EAST,31
Kemba Walker,20000752,Scrambled,EAST,31
Kevin Love,20000572,Scrambled,EAST,31
Kyle Lowry,20000457,Scrambled,WEST,32
Al Horford,20000603,Scrambled,WEST,32
Damian Lillard,20000619,Scrambled,WEST,32
Jimmy Butler,20000515,Scrambled,WEST,32
Draymond Green,20000482,Scrambled,WEST,32
Klay Thompson,20000486,Scrambled,WEST,32
Karl-Anthony Towns,20001431,Scrambled,WEST,32
James Harden,20000544,Scrambled,WEST,32
Giannis Antetokounmpo,20000497,Scrambled,WEST,32
Joel Embiid,20000726,Scrambled,WEST,32
DeMar DeRozan,20000456,Scrambled,WEST,32
Stephen Curry,20000485,Scrambled,WEST,32
